Variable,Restrictions,content map,category tab,section,role(s),id,name,label,dbo,control,type,options / datalist,placeholder / caption,value / default,size,maxlength,min,max,spellcheck,required,reqmsg,helpmsg,validation,pattern (regexp),title / invalid msg,transforms,triggers,assumptions,autofocus,autocomplete,bookpage(s),FrontCover,BackCover,Spine,Congradulations,TOC,fieldofplay,School,Athletic_Director,coaches photo,team photo,CoachQuote,Head_Coach,Coaches_Corner,People_Made_Difference,Player_Facts,Player_Stories,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,Favorite_Photos,Teammates_Remember,TeamMatesProfile,PlayerQuote
{{PersonFullName}},max 36,person.fullname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtFullName,fullName,Name,foaf:name,,,,,,,,,35,,,,,,,,calcFullName,trigFullNameOnChange; trigUpdateFullName,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonFirstLastName}},required; min 1; max 27,person.firstlastname,ProfileInfo,ContactInfoSection,"Player, Staff",,,,,,,,,,27,,,,,,,,,,First and Last Name is required,calcFirstLastName,trigFirstLastNameOnChange; trigUpdateFirstLastName,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonInitials}},min 2; max 3;,person.initials,ProfileInfo,ContactInfoSection,"Player, Staff",,,,,,,,,,3,,,,,,,,,,,calcInitials,trigInitialsOnChange; trigUpdateInitials,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonLastInitial}},min 1; max 1;,person.lastinitial,ProfileInfo,ContactInfoSection,Player,,,,,,,,,,1,,,,,,,,,,,calcLastInitial,trigLastInitialOnChange; trigUpdateLastInitial,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonGender}},,person.gender,ProfileInfo,ContactInfoSection,"Player, Parent",ddlGender,gender,Gender,foaf:gender,select,datalist,"value=""MAL"" Male, value=""FEM"" Female",,,,,,,,TRUE,Gender is required,,,,,,trigGenderOnChange,,,,,FrontCover,BackCover,Spine,,,,,,,,,,,,,Interior_Players,Letter_Player-to-Parent,Letter_Parent-to-Player,Memory_Notes,,,,
{{PersonTeamLevel}},,person.teamlevel,ProfileInfo,ContactInfoSection,Player,ddlTeamLevel,teamLevel,Team Level,,select,datalist,"value=""FMN"" Freshman, value=""JVR"" Junior Varsity, value=""VAR"" Varsity",,,,,,,,TRUE,Team Level is required,,,,,,trigTeamLevelOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonAddressLine1}},,person.address.address1,ProfileInfo,ContactInfoSection,Parent,txtAddress1,address,Address ,streetAddress,input,text,,Mailing address street,,30,,,30,,,,,,,,,trigAddressLine1OnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonAddressLine2}},,person.address.address2,ProfileInfo,ContactInfoSection,Parent,txtAddress2,address2,Address 2,streetAddress,input,text,,,,30,,,30,,,,,,,,,trigAddressLine2OnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonLocaleCity}},,person.address.localecity,ProfileInfo,ContactInfoSection,Parent,txtLocaleCity,localeCity,City,addressLocality,input,text,,Mailing address city,,20,,,30,,,,,,,,,trigLocaleCityOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonRegionState}},,person.address.regionstate,ProfileInfo,ContactInfoSection,Parent,txtRegionState,regionState,State,dbo:state,input,text,,Mailing address state or provence,,10,,,30,,,,,,,,,trigRegionStateOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonPostalCode}},,person.address.postalcode,ProfileInfo,ContactInfoSection,Parent,txtPostalCode,postalCode,Postal Code,postalCode,input,text,,Mailing address ZIP or postal code,,10,,5,10,,,,,testPostalCode,(\d{5}([\-]\d{4})?),Please Enter Valid ZIP or Postal Code,,trigPostalCodeOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonCountryCode}},,person.address.countrycode,ProfileInfo,ContactInfoSection,Parent,txtCountryCode,countryCode,Country code,dbo:countryCode,input,text,,Three letter country code,,3,,2,3,,,,,testCountryCode,[A-Za-z]{3},Please enter only three letters (no numbers or special characters),,trigCountryCodeOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonDateOfBirth}},,person.dateofbirth,ProfileInfo,ContactInfoSection,,dateOfBirth,dateOfBirth,DateOfBirth,dbo:dateOfBirth,input,date,,Date of birth mm/dd/yyyy,,,,,,,,,,testDateSyntax,,,,trigDateOfBirthOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonEmailAddress}},,person.emailaddress,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtEmailAddres,emailAddres,Email Addres,foaf:mbox,input,email,,,,30,,,30,,TRUE,Email Address/Mobile is required,,testEmailSyntax,"[a-z0-9._%+-]+@[a-z0-9.-]+\.[a-z]{2,3}$",Please Enter Valid Email Address,,trigEmailAddressOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonPhoneNumber}},,person.phonenumber,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtPhoneNumber,phoneNumber,Phone Number,foaf:phone,input,tel,,,,10,,,30,,,,,testUSPhoneNumber,"NOT(REGEX(Phone, ""\\D*?(\\d\\D*?){10}""))",US phone numbers should be in this format: (999) 999-9999.,,trigPhoneNumberOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonMobileNumber}},,person.mobilenumber,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",txtMobileNumber,mobileNumber,Mobile Number,foaf:phone,input,tel,,,,,,,30,,,,,testUSPhoneNumber,\d{3}[\-]\d{3}[\-]\d{4},Please Enter Valid Mobile Number in the format of 123-456-7890,,trigMobileNumberOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PersonThumbnail}},,person.thumbnail.image,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",imgProfileThumbnail,ProfileThumbnail,Profile Thumbnail,foaf:thumbnail,input,file,,,,,,,,,,,,,,,,trigThumbnailOnChange,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerSectionTitle}},required; min 1; max 50,player.section.title,ProfileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerSectionLayout}},,player.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerSectionEtag}},checksum calc,player.section.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerSectionValid}},default false,player.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerInformalName}},required; min 1; max 13,player.person.informalname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",,,,,,,,,,,,,,,,,,,,Informal Name is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerFullName}},required; min 1; max 13,player.person.fullname,ProfileInfo,ContactInfoSection,"Player, Parent, Staff",,,,,,,,,,,,,,,,,,,,Full Name is required,,,,,,,,,,,,,,,,,,,,,Player_Facts,,,,,,,,
{{PlayerInitials}},min 2; max 3;,player.person.initials,ProfileInfo,ContactInfoSection,"Player, Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerLastInitial}},min 1; max 1;,player.person.lastinitial,ProfileInfo,ContactInfoSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerGender}},required; ,person.gender,ProfileInfo,ContactInfoSection,Player,,,,,,,"value=""MAL"" Male, value=""FEM"" Female",,,,,,,,,,,,,Gender selection is requried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerFirstLastName}},required; min 1; max 27,player.person.firstlastname,ProfileInfo,ContactInfoSection,"Player, Staff",,,,,,,,,,,,,,,,,,,,First and Last Name is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Number}},star image or uniformn #,player.fact_101.answertext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerProfilePhoto1}},,player.photo_101.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",,,,,input,file,,,,,,,,,,,,,,Playerbackpagephoto Is Required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerProfilePhoto2}},,player.photo_102.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",,,,,input,file,,,,,,,,,,,,,,Playerfrontpagephoto1 Is Required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerProfilePhoto3}},,player.photo_103.image,ProfileInfo,ProfilePhotoSection,Player,,,,,input,file,,,,,,,,,,,,,,Playerfrontpagephoto2 Is Required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerProfilePhoto4}},,player.photo_104.image,ProfileInfo,ProfilePhotoSection,Player,,,,,input,file,,,,,,,,,,,,,,Playerfrontpagephoto3 Is Required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerProfileFactsPageTitle}},required; min 1; max 50,player.facts.page.title,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FactsSectionHeadline}},,player.facts.page.headline,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FactsSectionSubhead}},,player.facts.page.subhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileFactsLayout}},left,player.facts.page.layout,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,player.facts.page.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,player.facts.section.valid,ProfileInfo,FactsSection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fact Caption & Text (8-8),max 369,,ProfileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact1_Caption}},required; max 25,player.fact_101.captiontext,ProfileInfo,FactsSection,Player,101_txtFactDialValue,101_txtFactDialValue,What is your jersey number?,,textarea,,,,,100,,,369,TRUE,TRUE,Player jersey number is required,,,,Caption is required,,,6 of the 6 facts answer placeholders are required,FALSE,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact1_Question}},,player.fact_101.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact1_Answer}},required; max 30,player.fact_101.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact2_Caption}},required; max 25,player.fact_102.captiontext,ProfileInfo,FactsSection,Player,102_txtFactDialValue,102_txtFactDialValue,"What is your class year? (Senior, Junior, Sophomore, Freshman)",,textarea,,"Senior, Junior, Sophomore, Freshman",Class Year:,,100,,,369,TRUE,TRUE,,,,,Caption is required,,,,FALSE,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact2_Question}},,player.fact_102.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact2_Answer}},required; max 30,player.fact_102.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact3_Caption}},required; max 25,player.fact_103.captiontext,ProfileInfo,FactsSection,Player,103_txtFactDialValue,103_txtFactDialValue,"What life skill did you feel you showed the greatest growth during the season? (Service, Respect, Integrity, Leadership, Perseverance, Teamwork, Friendship, Sacrifice, Cooperation, Resilience)",,textarea,,"Service, Respect, Integrity, Leadership, Perseverance, Teamwork, Friendship, Sacrifice, Cooperation, Resilience",Life Skill Learned:,,3,,,3,FALSE,TRUE,,,,,Caption is required,,,,FALSE,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact3_Question}},,player.fact_103.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact3_Answer}},required; max 30,player.fact_103.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact4_Caption}},required; max 25,player.fact_104.captiontext,ProfileInfo,FactsSection,Player,104_txtFactDialValue,104_txtFactDialValue,Question 4,,textarea,,,,,,,,,,TRUE,,,,,Caption is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact4_Question}},,player.fact_104.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact4_Answer}},required; max 30,player.fact_104.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact5_Caption}},required; max 25,player.fact_105.captiontext,ProfileInfo,FactsSection,Player,105_txtFactDialValue,105_txtFactDialValue,Question 5,,textarea,,,,,,,,,,TRUE,,,,,Caption is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact5_Question}},,player.fact_105.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact5_Answer}},required; max 30,player.fact_105.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact6_Caption}},required; max 25,player.fact_106.captiontext,ProfileInfo,FactsSection,Player,106_txtFactDialValue,106_txtFactDialValue,Question 6,,textarea,,,,,,,,,,TRUE,,,,,Caption is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Fact6_Question}},,player.fact_106.questiontext,ProfileInfo,FactsSection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Fact6_Answer}},required; max 30,player.fact_106.answertext,ProfileInfo,FactsSection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileStoriesSectionTitle}},required; min 1; max 50,player.stories.section.title,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{StorySectionHeadline}},,profileinfo.storiessection.headline,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{StorySectionSubhead}},,profileinfo.storiessection.subhead,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileStoriesLayour}},right,player.stories.page.layout,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileStoriesPageTitle}},required; max 50,player.stories.page.title,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Story Caption & text (8-10),max 2100,,ProfileInfo,StorySection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story1_Caption}},max 25,player.story_101.captiontext,ProfileInfo,StorySection,Player,c101_txtStoryDialValue,c101_txtStoryDialValue,"Imagine you're the coach, what advice would you give your players?",,,,,Best Advice:,,,,,,,TRUE,,,,,,,,6 of the 8 story answer placeholders are required,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story1_Question}},,player.story_101.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story1_Answer}},required,player.story_101.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story2_Caption}},max 25,player.story_102.captiontext,ProfileInfo,StorySection,Player,c102_txtStoryDialValue,c102_txtStoryDialValue,Story Prompt 2,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story2_Question}},,player.story_102.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story2_Answer}},required,player.story_102.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story3_Caption}},max 25,player.story_103.captiontext,ProfileInfo,StorySection,Player,c103_txtStoryDialValue,c103_txtStoryDialValue,Story Prompt 3,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story3_Question}},,player.story_103.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story3_Answer}},required,player.story_103.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story4_Caption}},max 25,player.story_104.captiontext,ProfileInfo,StorySection,Player,c104_txtStoryDialValue,c104_txtStoryDialValue,Story Prompt 4,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story4_Question}},,player.story_104.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story4_Answer}},required,player.story_104.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story5_Caption}},max 25,player.story_105.captiontext,ProfileInfo,StorySection,Player,c105_txtStoryDialValue,c105_txtStoryDialValue,Story Prompt 5,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story5_Question}},,player.story_105.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story5_Answer}},required,player.story_105.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story6_Caption}},max 25,player.story_106.captiontext,ProfileInfo,StorySection,Player,c106_txtStoryDialValue,c106_txtStoryDialValue,Story Prompt 6,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story6_Question}},,player.story_106.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story6_Answer}},required,player.story_106.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story7_Caption}},max 25,player.story_107.captiontext,ProfileInfo,StorySection,Player,c107_txtStoryDialValue,c107_txtStoryDialValue,Story Prompt 7,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story7_Question}},,player.story_107.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story7_Answer}},required,player.story_107.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,Answer to question is required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story8_Caption}},max 25,player.story_108.captiontext,ProfileInfo,StorySection,Player,c108_txtStoryDialValue,c108_txtStoryDialValue,Story Prompt 8,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{Player_Story8_Question}},,player.story_108.questiontext,ProfileInfo,StorySection,Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{Player_Story8_Answer}},,player.story_108.answertext,ProfileInfo,StorySection,Player,,,,,,,,{{caption}},,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerProfileSPhotosSectionTitle}},required; min 1; max 50,player.photos.section.title,ProfileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{ProfilePhotoSectionHeadline}},,player.photos.section.headline,ProfileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{ProfilePhotoSectionSubhead}},,player.photos.section.subhead,ProfileInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,player.photos.section.layout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,player.photos.section.etag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,true or false,player.photos.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{PlayerFrontPagePhoto1}},required,player.photo_101.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",101_imgProfilePhoto,ProfilePhotos_Photo2,Profile Photo 1,,input,file,,,,,,,,,TRUE,,,,,Playerbackpagephoto Is Required,,,2 of the 4 profile photo placeholders are required,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerFrontPagePhoto2}},,player.photo_102.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",102_imgProfilePhoto,ProfilePhotos_Photo2,Profile Photo 2,,input,file,,,,,,,,,TRUE,,,,,Playerfrontpagephoto1 Is Required,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerFrontPagePhoto3}},,player.photo_103.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",103_imgProfilePhoto,ProfilePhotos_Photo2,Profile Photo 3,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
{{PlayerFrontPagePhoto4}},,player.photo_104.image,ProfileInfo,ProfilePhotoSection,"Player, Staff",104_imgProfilePhoto,ProfilePhotos_Photo2,Profile Photo 4,,input,file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Interior_Players,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
{{FrontCoverSectionTitle}},,cover.section.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{FrontCoverSectionValid}},true or false,cover.section.valid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
{{FrontCoverPageTitle}},,cover.page.title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FrontCover,,,,,,,,,,,,,,,,,,,,,,
